Y	X	value
1	223	2
1	224	0
1	225	0
1	226	2
1	227	0
1	228	2
1	229	0
1	230	0
1	231	2
1	232	2
1	233	2
1	234	2
1	235	2
1	236	0
1	237	0
1	238	2
1	239	2
1	240	2
1	241	0
1	242	2
1	243	0
1	244	2
1	245	0
1	246	0
1	247	2
1	248	0
1	249	2
1	250	0
1	251	0
1	252	2
1	253	0
1	254	0
1	255	2
1	256	2
1	257	2
1	258	2
1	259	0
1	260	0
1	261	0
1	262	2
1	263	2
1	264	2
1	265	2
1	266	0
1	267	2
1	268	2
1	269	2
1	270	0
1	271	2
1	272	2
1	273	2
1	274	0
1	275	2
1	276	2
1	277	0
1	278	2
1	279	0
1	280	2
1	281	0
1	282	2
1	283	2
1	284	2
1	285	0
1	286	2
1	287	0
1	288	0
1	289	2
1	290	0
1	291	2
1	292	2
1	293	0
1	294	2
1	295	2
1	296	2
1	297	2
1	298	0
1	299	2
1	300	2
1	301	2
1	302	2
1	303	0
1	304	0
1	305	0
1	306	2
1	307	2
1	308	0
1	309	2
1	310	2
1	311	2
1	312	2
1	313	2
1	314	0
1	315	2
1	316	2
1	317	2
1	318	2
1	319	0
1	320	0
1	321	2
1	322	0
1	323	2
1	324	0
1	325	2
1	326	0
1	327	2
1	328	0
1	329	2
1	330	2
1	331	0
1	332	0
1	333	2
1	334	0
1	335	2
1	336	2
1	337	2
1	338	0
1	339	2
1	340	0
1	341	0
1	342	2
1	343	0
1	344	2
1	345	2
1	346	2
1	347	2
1	348	2
1	349	2
1	350	0
1	351	2
1	352	0
1	353	0
1	354	0
1	355	0
1	356	0
1	357	0
1	358	2
1	359	2
1	360	2
1	361	0
1	362	2
1	363	0
1	364	2
1	365	0
1	366	2
1	367	0
1	368	0
1	369	2
1	370	0
1	371	2
1	372	0
1	373	0
1	374	2
1	375	0
1	376	2
1	377	0
1	378	2
1	379	0
1	380	2
1	381	2
1	382	2
1	383	0
1	384	0
1	385	0
1	386	0
1	387	0
1	388	2
1	389	0
1	390	0
1	391	2
1	392	2
1	393	2
1	394	2
1	395	0
1	396	0
1	397	2
1	398	0
1	399	2
1	400	2
1	401	2
1	402	2
1	403	2
1	404	2
1	405	0
1	406	2
1	407	2
1	408	0
1	409	0
1	410	0
1	411	0
1	412	0
1	413	0
1	414	0
1	415	0
1	416	0
1	417	2
1	418	2
1	419	0
1	420	0
1	421	2
1	422	2
1	423	0
1	424	2
1	425	0
1	426	2
1	427	0
1	428	0
1	429	0
1	430	0
1	431	2
1	432	2
1	433	2
1	434	0
1	435	2
1	436	2
1	437	2
1	438	2
1	439	2
1	440	0
1	441	2
1	442	2
1	443	2
1	444	0
1	445	0
1	446	2
1	447	2
1	448	2
1	449	2
1	450	0
1	451	2
1	452	2
1	453	2
1	454	0
1	455	2
1	456	0
1	457	0
1	458	0
1	459	0
1	460	0
1	461	2
1	462	2
1	463	0
1	464	2
1	465	0
1	466	2
1	467	2
1	468	0
1	469	2
1	470	2
1	471	2
1	472	0
1	473	2
1	474	0
1	475	2
1	476	0
1	477	0
1	478	2
1	479	2
1	480	2
1	481	0
1	482	2
1	483	0
1	484	2
1	485	2
1	486	2
1	487	0
1	488	2
1	489	0
1	490	2
1	491	2
1	492	2
1	493	0
1	494	0
1	495	0
1	496	2
1	497	0
1	498	2
1	499	0
1	500	2
1	501	0
1	502	2
1	503	2
1	504	2
1	505	2
1	506	0
1	507	2
1	508	2
1	509	2
1	510	0
1	511	2
1	512	2
1	513	0
1	514	0
1	515	0
1	516	2
1	517	0
1	518	2
1	519	2
1	520	0
1	521	2
1	522	0
1	523	2
1	524	0
1	525	2
1	526	0
1	527	0
1	528	2
1	529	0
1	530	0
1	531	2
1	532	0
1	533	2
1	534	0
1	535	2
1	536	0
1	537	0
1	538	0
1	539	0
1	540	2
1	541	2
1	542	0
1	543	2
1	544	0
1	545	2
1	546	2
1	547	0
1	548	0
1	549	0
1	550	0
1	551	0
1	552	0
1	553	2
1	554	2
1	555	2
1	556	2
1	557	0
1	558	2
1	559	0
1	560	0
1	561	2
1	562	2
1	563	2
1	564	0
1	565	2
1	566	0
1	567	0
1	568	0
1	569	0
1	570	0
1	571	0
1	572	0
1	573	2
1	574	2
1	575	2
1	576	2
1	577	2
1	578	0
1	579	2
1	580	2
1	581	0
1	582	2
1	583	0
1	584	2
1	585	0
1	586	2
1	587	2
1	588	2
1	589	2
1	590	2
1	591	2
1	592	0
1	593	2
1	594	0
1	595	0
1	596	0
1	597	2
1	598	0
1	599	0
1	600	2
1	601	2
1	602	2
1	603	2
1	604	0
1	605	0
1	606	2
1	607	0
1	608	2
1	609	0
1	610	0
1	611	0
1	612	0
1	613	2
1	614	2
1	615	0
1	616	2
1	617	2
1	618	2
1	619	2
1	620	2
1	621	0
1	622	2
1	623	2
1	624	0
1	625	2
1	626	0
1	627	0
1	628	2
1	629	2
1	630	2
1	631	2
1	632	0
1	633	2
1	634	2
1	635	2
1	636	2
1	637	0
1	638	2
1	639	0
1	640	2
1	641	2
1	642	0
1	643	0
1	644	0
1	645	0
1	646	0
1	647	0
1	648	2
1	649	2
1	650	2
1	651	0
1	652	0
1	653	2
1	654	0
1	655	0
1	656	2
1	657	2
1	658	2
1	659	0
1	660	0
1	661	2
1	662	2
1	663	0
1	664	2
1	665	2
1	666	0
1	667	0
1	668	0
1	669	0
1	670	2
1	671	2
1	672	0
1	673	2
1	674	0
1	675	2
1	676	2
1	677	2
1	678	0
1	679	0
1	680	0
1	681	2
1	682	0
1	683	0
1	684	2
1	685	2
1	686	0
1	687	2
1	688	0
1	689	0
1	690	0
1	691	0
1	692	0
1	693	2
1	694	0
1	695	2
1	696	2
1	697	2
1	698	2
1	699	2
1	700	0
1	701	2
1	702	0
1	703	0
1	704	0
1	705	2
1	706	2
1	707	2
1	708	2
1	709	0
1	710	2
1	711	0
1	712	0
1	713	2
1	714	0
1	715	2
1	716	2
1	717	2
1	718	0
1	719	0
1	720	0
1	721	2
1	722	2
1	723	0
1	724	0
1	725	2
1	726	2
1	727	2
1	728	0
1	729	2
1	730	0
1	731	2
1	732	2
1	733	2
1	734	0
1	735	2
1	736	0
1	737	2
1	738	2
1	739	2
1	740	2
1	741	0
1	742	2
1	743	2
1	744	0
1	745	2
1	746	2
1	747	0
1	748	2
1	749	0
1	750	0
1	751	2
1	752	0
1	753	0
1	754	0
1	755	2
1	756	2
1	757	2
1	758	2
1	759	0
1	760	2
1	761	0
1	762	2
1	763	0
1	764	0
1	765	0
1	766	0
1	767	2
1	768	2
1	769	0
1	770	0
1	771	2
1	772	0
1	773	0
1	774	2
1	775	2
1	776	0
1	777	0
1	778	2
1	779	2
1	780	0
1	781	0
1	782	0
1	783	2
1	784	2
1	785	0
1	786	2
1	787	2
1	788	2
1	789	0
1	790	0
1	791	0
1	792	2
1	793	2
1	794	0
1	795	0
1	796	2
1	797	2
1	798	0
1	799	0
1	800	0
1	801	0
1	802	0
1	803	2
1	804	2
1	805	2
1	806	0
1	807	0
1	808	2
1	809	2
1	810	0
1	811	0
1	812	2
1	813	2
1	814	0
1	815	0
1	816	0
1	817	0
1	818	0
1	819	2
1	820	2
1	821	2
1	822	2
1	823	0
1	824	0
1	825	0
1	826	2
1	827	0
1	828	0
1	829	2
1	830	0
1	831	0
1	832	0
1	833	2
1	834	2
1	835	0
1	836	2
1	837	2
1	838	0
1	839	2
1	840	2
1	841	2
1	842	0
1	843	0
1	844	0
1	845	0
1	846	0
1	847	0
1	848	2
1	849	0
1	850	0
1	851	2
1	852	2
1	853	2
1	854	0
1	855	0
1	856	2
1	857	2
1	858	2
1	859	0
1	860	2
1	861	2
1	862	2
1	863	0
1	864	0
1	865	2
1	866	0
1	867	0
1	868	0
1	869	2
1	870	0
1	871	0
1	872	2
1	873	2
1	874	0
1	875	2
1	876	0
1	877	0
1	878	0
1	879	0
1	880	2
1	881	2
1	882	0
1	883	2
1	884	2
1	885	0
1	886	2
1	887	2
1	888	0
1	889	2
1	890	0
1	891	0
1	892	2
1	893	0
1	894	2
1	895	0
1	896	2
1	897	2
1	898	2
1	899	2
1	900	0
1	901	0
1	902	0
1	903	0
1	904	0
1	905	2
1	906	0
1	907	0
1	908	0
1	909	0
1	910	2
1	911	2
1	912	0
1	913	0
1	914	0
1	915	0
1	916	2
1	917	0
1	918	0
1	919	2
1	920	0
1	921	0
1	922	2
1	923	2
1	924	0
1	925	0
1	926	2
1	927	0
1	928	0
1	929	2
1	930	2
1	931	0
1	932	2
1	933	0
1	934	0
1	935	2
1	936	0
1	937	2
1	938	2
1	939	2
1	940	2
1	941	0
1	942	2
1	943	2
1	944	0
1	945	2
1	946	2
1	947	0
1	948	2
1	949	0
1	950	2
1	951	0
1	952	2
1	953	0
1	954	0
1	955	2
1	956	2
1	957	2
1	958	2
1	959	2
1	960	0
1	961	2
1	962	2
1	963	0
1	964	0
1	965	2
1	966	0
1	967	2
1	968	2
1	969	0
1	970	0
1	971	0
1	972	0
1	973	2
1	974	2
1	975	0
1	976	0
1	977	0
1	978	2
1	979	2
1	980	0
1	981	2
1	982	0
1	983	2
1	984	0
1	985	2
1	986	0
1	987	2
1	988	0
1	989	0
1	990	0
1	991	0
1	992	2
1	993	0
1	994	2
1	995	2
1	996	2
1	997	0
1	998	2
1	999	2
1	1000	0
1	1001	2
1	1002	2
1	1003	0
1	1004	0
1	1005	0
1	1006	0
1	1007	0
1	1008	2
1	1009	0
1	1010	0
1	1011	0
1	1012	0
1	1013	0
1	1014	2
1	1015	0
1	1016	0
1	1017	0
1	1018	2
1	1019	2
1	1020	0
1	1021	0
1	1022	0
1	1023	2
1	1024	0
1	1025	2
1	1026	2
1	1027	2
1	1028	0
1	1029	0
1	1030	2
1	1031	2
1	1032	2
1	1033	0
1	1034	0
1	1035	2
1	1036	0
1	1037	2
1	1038	0
1	1039	2
1	1040	2
1	1041	0
1	1042	0
1	1043	0
1	1044	0
1	1045	0
1	1046	0
1	1047	2
1	1048	0
1	1049	0
1	1050	2
1	1051	2
1	1052	0
1	1053	2
1	1054	2
1	1055	0
1	1056	0
1	1057	0
1	1058	2
1	1059	0
1	1060	2
1	1061	2
1	1062	2
1	1063	0
1	1064	2
1	1065	0
1	1066	2
1	1067	0
1	1068	2
1	1069	2
1	1070	2
1	1071	0
1	1072	2
1	1073	2
1	1074	2
1	1075	2
1	1076	2
1	1077	2
1	1078	0
1	1079	2
1	1080	2
1	1081	2
1	1082	0
1	1083	0
1	1084	2
1	1085	0
1	1086	2
1	1087	2
1	1088	0
1	1089	0
1	1090	2
1	1091	0
1	1092	2
1	1093	0
1	1094	2
1	1095	0
1	1096	2
1	1097	0
1	1098	0
1	1099	2
1	1100	2
1	1101	0
1	1102	2
1	1103	0
1	1104	2
1	1105	0
1	1106	2
1	1107	2
1	1108	2
1	1109	2
1	1110	2
1	1111	0
1	1112	2
1	1113	2
1	1114	2
1	1115	0
1	1116	0
1	1117	0
1	1118	0
1	1119	0
1	1120	2
1	1121	0
1	1122	0
1	1123	0
1	1124	0
1	1125	0
1	1126	0
1	1127	2
1	1128	0
1	1129	0
1	1130	0
1	1131	0
1	1132	2
1	1133	0
1	1134	0
1	1135	2
1	1136	2
1	1137	2
1	1138	2
1	1139	0
1	1140	0
1	1141	2
1	1142	2
1	1143	0
1	1144	2
1	1145	0
1	1146	0
1	1147	2
1	1148	0
1	1149	2
1	1150	2
1	1151	0
1	1152	2
1	1153	0
1	1154	2
1	1155	2
1	1156	2
1	1157	0
1	1158	0
1	1159	0
1	1160	2
1	1161	0
1	1162	0
1	1163	0
1	1164	2
1	1165	0
1	1166	2
1	1167	2
1	1168	0
1	1169	0
1	1170	2
1	1171	0
1	1172	2
1	1173	0
1	1174	0
1	1175	0
1	1176	2
1	1177	2
1	1178	0
1	1179	0
1	1180	0
1	1181	0
1	1182	0
1	1183	0
1	1184	2
1	1185	0
1	1186	0
1	1187	2
1	1188	0
1	1189	0
1	1190	2
1	1191	2
1	1192	2
1	1193	2
1	1194	0
1	1195	2
1	1196	2
1	1197	0
1	1198	0
1	1199	2
1	1200	2
1	1201	0
1	1202	0
1	1203	0
1	1204	2
1	1205	0
1	1206	0
1	1207	0
1	1208	0
1	1209	0
1	1210	0
1	1211	0
1	1212	0
1	1213	2
1	1214	0
1	1215	0
1	1216	2
1	1217	2
1	1218	0
1	1219	0
1	1220	0
1	1221	0
1	1222	2
1	1223	0
1	1224	2
1	1225	2
1	1226	2
1	1227	2
1	1228	0
1	1229	0
1	1230	2
1	1231	2
1	1232	2
1	1233	0
1	1234	2
1	1235	2
1	1236	0
1	1237	0
1	1238	2
1	1239	2
1	1240	0
1	1241	2
1	1242	0
1	1243	0
1	1244	2
1	1245	2
1	1246	2
1	1247	0
1	1248	0
1	1249	0
1	1250	2
1	1251	2
1	1252	0
1	1253	2
1	1254	0
1	1255	0
1	1256	0
1	1257	0
1	1258	2
1	1259	2
1	1260	2
1	1261	0
1	1262	2
1	1263	2
1	1264	2
1	1265	0
1	1266	0
1	1267	2
1	1268	0
1	1269	2
1	1270	2
1	1271	2
1	1272	0
1	1273	2
1	1274	0
1	1275	0
1	1276	2
1	1277	2
1	1278	0
1	1279	0
1	1280	0
1	1281	0
1	1282	2
1	1283	0
1	1284	2
1	1285	0
1	1286	2
1	1287	0
1	1288	0
1	1289	0
1	1290	0
1	1291	2
1	1292	0
1	1293	2
1	1294	0
1	1295	0
1	1296	2
1	1297	2
1	1298	2
1	1299	0
1	1300	0
1	1301	2
1	1302	2
1	1303	0
1	1304	2
1	1305	2
1	1306	0
1	1307	0
1	1308	0
1	1309	2
1	1310	2
1	1311	2
1	1312	0
1	1313	0
1	1314	0
1	1315	2
1	1316	0
1	1317	0
1	1318	0
1	1319	0
1	1320	0
1	1321	0
1	1322	0
1	1323	2
1	1324	0
1	1325	0
1	1326	0
1	1327	2
1	1328	2
1	1329	0
1	1330	0
1	1331	0
1	1332	0
1	1333	0
1	1334	2
1	1335	2
1	1336	2
1	1337	2
1	1338	0
1	1339	0
1	1340	2
1	1341	0
1	1342	0
1	1343	0
1	1344	2
1	1345	0
1	1346	0
1	1347	2
1	1348	0
1	1349	2
1	1350	0
1	1351	0
1	1352	2
1	1353	0
1	1354	0
1	1355	0
1	1356	2
1	1357	2
1	1358	2
1	1359	2
1	1360	0
1	1361	2
1	1362	2
1	1363	0
1	1364	2
1	1365	2
1	1366	0
1	1367	0
1	1368	2
1	1369	0
1	1370	2
1	1371	0
1	1372	2
1	1373	2
1	1374	2
1	1375	2
1	1376	0
1	1377	0
1	1378	0
1	1379	0
1	1380	0
1	1381	0
1	1382	2
1	1383	0
1	1384	0
1	1385	2
1	1386	0
1	1387	0
1	1388	0
1	1389	2
1	1390	0
1	1391	2
1	1392	0
1	1393	2
1	1394	2
1	1395	2
1	1396	0
1	1397	2
1	1398	0
1	1399	0
1	1400	2
1	1401	0
1	1402	0
1	1403	2
1	1404	0
1	1405	0
1	1406	2
1	1407	0
1	1408	0
1	1409	2
1	1410	0
1	1411	2
1	1412	0
1	1413	2
1	1414	0
1	1415	0
1	1416	0
1	1417	0
1	1418	2
1	1419	0
1	1420	2
1	1421	2
1	1422	2
1	1423	0
1	1424	0
1	1425	0
1	1426	0
1	1427	2
1	1428	0
1	1429	2
1	1430	0
1	1431	2
1	1432	0
1	1433	0
1	1434	2
1	1435	2
1	1436	0
1	1437	2
1	1438	0
1	1439	2
1	1440	2
1	1441	0
1	1442	2
1	1443	0
1	1444	2
1	1445	2
1	1446	2
1	1447	2
1	1448	0
1	1449	0
1	1450	2
1	1451	0
1	1452	2
1	1453	2
1	1454	0
1	1455	2
1	1456	2
1	1457	2
1	1458	0
1	1459	0
1	1460	0
1	1461	0
1	1462	0
1	1463	2
1	1464	0
1	1465	2
1	1466	2
1	1467	0
1	1468	0
1	1469	0
1	1470	2
1	1471	2
1	1472	0
1	1473	2
1	1474	0
1	1475	2
1	1476	0
1	1477	2
1	1478	2
1	1479	0
1	1480	2
1	1481	2
1	1482	2
1	1483	0
1	1484	2
1	1485	0
1	1486	0
1	1487	2
1	1488	0
1	1489	2
1	1490	0
1	1491	0
1	1492	0
1	1493	0
1	1494	2
1	1495	2
1	1496	0
1	1497	2
1	1498	0
1	1499	0
1	1500	0
1	1501	2
1	1502	2
1	1503	0
1	1504	2
1	1505	2
1	1506	2
1	1507	2
1	1508	0
1	1509	2
1	1510	0
1	1511	2
1	1512	0
1	1513	2
1	1514	2
1	1515	2
1	1516	2
1	1517	0
1	1518	2
1	1519	2
1	1520	0
1	1521	0
1	1522	0
1	1523	0
1	1524	2
1	1525	2
1	1526	2
1	1527	2
1	1528	2
1	1529	2
1	1530	0
1	1531	0
1	1532	2
1	1533	2
1	1534	0
1	1535	0
1	1536	2
1	1537	2
1	1538	0
1	1539	0
1	1540	0
1	1541	0
1	1542	2
1	1543	0
1	1544	0
1	1545	0
1	1546	2
1	1547	2
1	1548	0
1	1549	0
1	1550	2
1	1551	2
1	1552	2
1	1553	2
1	1554	0
1	1555	0
1	1556	2
1	1557	0
1	1558	2
1	1559	2
1	1560	0
1	1561	0
1	1562	2
1	1563	0
1	1564	0
1	1565	2
1	1566	0
1	1567	0
1	1568	0
1	1569	2
1	1570	2
1	1571	0
1	1572	2
1	1573	0
1	1574	0
1	1575	2
1	1576	2
1	1577	0
1	1578	0
1	1579	0
1	1580	0
1	1581	2
1	1582	0
1	1583	2
1	1584	0
1	1585	2
1	1586	0
1	1587	0
1	1588	0
1	1589	0
1	1590	2
1	1591	0
1	1592	0
1	1593	0
1	1594	2
1	1595	0
1	1596	0
1	1597	0
1	1598	2
1	1599	2
1	1600	0
1	1601	0
1	1602	0
1	1603	0
1	1604	0
1	1605	0
1	1606	0
1	1607	2
1	1608	0
1	1609	2
1	1610	2
1	1611	2
1	1612	0
1	1613	2
1	1614	0
1	1615	2
1	1616	2
1	1617	0
1	1618	2
1	1619	2
1	1620	2
1	1621	2
1	1622	0
1	1623	0
1	1624	2
1	1625	0
1	1626	0
1	1627	2
1	1628	0
1	1629	2
1	1630	2
1	1631	2
1	1632	2
1	1633	2
1	1634	0
1	1635	0
1	1636	0
1	1637	2
1	1638	2
1	1639	2
1	1640	0
1	1641	0
1	1642	0
1	1643	2
1	1644	0
1	1645	2
1	1646	0
1	1647	0
1	1648	2
1	1649	0
1	1650	2
1	1651	0
1	1652	0
1	1653	0
1	1654	0
1	1655	2
1	1656	0
1	1657	2
1	1658	2
1	1659	0
1	1660	2
1	1661	0
1	1662	2
1	1663	0
1	1664	0
1	1665	0
1	1666	0
1	1667	0
1	1668	0
1	1669	2
1	1670	0
1	1671	2
1	1672	0
1	1673	0
1	1674	0
1	1675	0
1	1676	2
1	1677	0
1	1678	2
1	1679	0
1	1680	0
1	1681	2
1	1682	0
1	1683	2
1	1684	2
1	1685	0
1	1686	2
1	1687	0
1	1688	2
1	1689	2
1	1690	0
1	1691	2
1	1692	0
1	1693	2
1	1694	0
1	1695	2
1	1696	2
1	1697	0
1	1698	0
1	1699	2
1	1700	0
1	1701	2
1	1702	0
1	1703	2
1	1704	2
1	1705	0
1	1706	2
1	1707	0
1	1708	0
1	1709	0
1	1710	2
1	1711	2
1	1712	2
1	1713	0
1	1714	2
1	1715	0
1	1716	0
1	1717	2
1	1718	2
1	1719	2
1	1720	2
1	1721	2
1	1722	0
1	1723	0
1	1724	2
1	1725	0
1	1726	0
1	1727	0
1	1728	0
1	1729	0
1	1730	2
1	1731	2
1	1732	2
1	1733	0
1	1734	0
1	1735	2
1	1736	2
1	1737	0
1	1738	2
1	1739	2
1	1740	0
1	1741	2
1	1742	2
1	1743	0
1	1744	2
1	1745	2
1	1746	0
1	1747	2
1	1748	0
1	1749	0
1	1750	0
1	1751	2
1	1752	0
1	1753	2
1	1754	0
1	1755	0
1	1756	2
1	1757	0
1	1758	0
1	1759	2
1	1760	0
1	1761	0
1	1762	2
1	1763	2
1	1764	0
1	1765	0
1	1766	2
1	1767	2
1	1768	2
1	1769	2
1	1770	0
1	1771	2
1	1772	0
1	1773	0
1	1774	2
1	1775	0
1	1776	2
1	1777	0
1	1778	2
1	1779	0
1	1780	2
1	1781	0
1	1782	2
1	1783	0
1	1784	2
1	1785	0
1	1786	0
1	1787	2
1	1788	0
1	1789	0
1	1790	0
1	1791	0
1	1792	2
1	1793	0
1	1794	0
1	1795	2
1	1796	0
1	1797	0
1	1798	2
1	1799	0
1	1800	2
1	1801	2
1	1802	0
1	1803	2
1	1804	2
1	1805	0
1	1806	2
1	1807	2
1	1808	0
1	1809	0
1	1810	0
1	1811	2
1	1812	0
1	1813	2
1	1814	2
1	1815	0
1	1816	2
1	1817	2
1	1818	0
1	1819	2
1	1820	0
1	1821	2
1	1822	0
1	1823	0
1	1824	0
1	1825	2
1	1826	0
1	1827	2
1	1828	0
1	1829	2
1	1830	2
1	1831	2
1	1832	0
1	1833	2
1	1834	2
1	1835	0
1	1836	0
1	1837	0
1	1838	2
1	1839	2
1	1840	0
1	1841	0
1	1842	2
1	1843	0
1	1844	2
1	1845	0
1	1846	0
1	1847	0
1	1848	0
1	1849	0
1	1850	2
1	1851	0
1	1852	0
1	1853	2
1	1854	0
1	1855	0
1	1856	0
1	1857	0
1	1858	2
1	1859	0
1	1860	0
1	1861	2
1	1862	2
1	1863	0
1	1864	0
1	1865	0
1	1866	2
1	1867	0
1	1868	2
1	1869	2
1	1870	2
1	1871	2
1	1872	0
1	1873	0
1	1874	2
1	1875	2
1	1876	2
1	1877	0
1	1878	2
1	1879	0
1	1880	2
1	1881	0
1	1882	0
1	1883	2
1	1884	2
1	1885	0
1	1886	0
1	1887	2
1	1888	0
1	1889	0
1	1890	0
1	1891	0
1	1892	2
1	1893	2
1	1894	2
1	1895	2
1	1896	0
1	1897	0
1	1898	0
1	1899	2
1	1900	2
1	1901	2
1	1902	2
1	1903	2
1	1904	2
1	1905	0
1	1906	2
1	1907	0
1	1908	2
1	1909	2
1	1910	0
1	1911	2
1	1912	0
1	1913	0
1	1914	2
1	1915	2
1	1916	2
1	1917	2
1	1918	2
1	1919	0
1	1920	2
1	1921	2
1	1922	2
1	1923	0
1	1924	2
1	1925	2
1	1926	2
1	1927	2
1	1928	2
1	1929	0
1	1930	0
1	1931	2
1	1932	2
1	1933	0
1	1934	2
1	1935	2
1	1936	0
1	1937	2
1	1938	2
1	1939	2
1	1940	0
1	1941	2
1	1942	2
1	1943	2
1	1944	0
1	1945	0
1	1946	2
1	1947	0
1	1948	0
1	1949	2
1	1950	2
1	1951	0
1	1952	2
1	1953	2
1	1954	2
1	1955	0
1	1956	2
1	1957	0
1	1958	2
1	1959	0
1	1960	0
1	1961	0
1	1962	0
1	1963	2
1	1964	0
1	1965	2
1	1966	0
1	1967	2
1	1968	0
1	1969	0
1	1970	0
1	1971	2
1	1972	2
1	1973	2
1	1974	0
1	1975	0
1	1976	2
1	1977	0
1	1978	0
1	1979	0
1	1980	2
1	1981	0
1	1982	2
1	1983	0
1	1984	2
1	1985	0
1	1986	2
1	1987	0
1	1988	2
1	1989	2
1	1990	2
1	1991	0
1	1992	0
1	1993	2
1	1994	0
1	1995	0
1	1996	2
1	1997	2
1	1998	0
1	1999	0
1	2000	0
1	2001	0
1	2002	0
1	2003	2
1	2004	0
1	2005	0
1	2006	2
1	2007	2
1	2008	0
1	2009	2
1	2010	0
1	2011	2
1	2012	0
1	2013	2
1	2014	0
1	2015	2
1	2016	0
1	2017	0
1	2018	2
1	2019	2
1	2020	0
1	2021	0
1	2022	2
1	2023	0
1	2024	2
1	2025	0
1	2026	0
1	2027	0
1	2028	2
1	2029	0
1	2030	2
1	2031	2
1	2032	2
1	2033	0
1	2034	2
1	2035	2
1	2036	0
1	2037	2
1	2038	0
1	2039	0
1	2040	0
1	2041	0
1	2042	2
1	2043	0
1	2044	0
1	2045	2
1	2046	0
1	2047	0
1	2048	2
1	2049	2
1	2050	2
1	2051	2
1	2052	2
1	2053	0
1	2054	2
1	2055	0
1	2056	0
1	2057	2
1	2058	0
1	2059	2
1	2060	2
1	2061	2
1	2062	2
1	2063	0
1	2064	0
1	2065	0
1	2066	2
1	2067	2
1	2068	2
1	2069	0
1	2070	0
1	2071	2
1	2072	0
1	2073	0
1	2074	2
1	2075	0
1	2076	0
1	2077	2
1	2078	2
1	2079	2
1	2080	0
1	2081	2
1	2082	2
1	2083	0
1	2084	2
1	2085	2
1	2086	2
1	2087	2
1	2088	0
1	2089	2
1	2090	0
1	2091	2
1	2092	2
1	2093	2
1	2094	0
1	2095	2
1	2096	0
1	2097	0
1	2098	0
1	2099	0
1	2100	0
1	2101	0
1	2102	2
1	2103	2
1	2104	2
1	2105	0
1	2106	0
1	2107	2
1	2108	2
1	2109	2
1	2110	2
1	2111	0
1	2112	2
1	2113	0
1	2114	2
1	2115	2
1	2116	2
1	2117	0
1	2118	0
1	2119	2
1	2120	0
1	2121	2
1	2122	0
1	2123	2
1	2124	0
1	2125	0
1	2126	0
1	2127	0
1	2128	2
1	2129	2
1	2130	0
1	2131	0
1	2132	2
1	2133	0
1	2134	0
1	2135	0
1	2136	2
1	2137	0
1	2138	0
1	2139	2
1	2140	0
